Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2023-05-04,The Batman,2022,https://boxd.it/4cw1cB,4.5,,,2022-03-16
2023-05-04,The Gray Man,2022,https://boxd.it/4cvYZb,2.5,,,2022-07-23
2023-05-04,Ghosted,2023,https://boxd.it/4cvXDt,2.5,,"film, film2023, action, drama, chrisevans, anadearmas",2023-04-29
2023-05-04,Interstellar,2014,https://boxd.it/4cw0HX,5,Yes,,2023-05-03
2024-10-05,The Grand Budapest Hotel,2014,https://boxd.it/7tfzKl,4,,,2023-05-26
2024-10-05,Dead Poets Society,1989,https://boxd.it/7tfJ95,5,,,2023-06-02
2024-10-05,Pulp Fiction,1994,https://boxd.it/7tfDmn,4,,,2023-06-03
2024-10-05,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/7tfMTb,4.5,,,2023-06-09
2024-10-05,La La Land,2016,https://boxd.it/7tfQu5,3.5,,,2023-06-16
2024-10-05,Straight Outta Compton,2015,https://boxd.it/7tfVsD,3,,,2023-06-30
2024-10-05,Sirf Ek Bandaa Kaafi Hai,2023,https://boxd.it/7tg10v,3,,,2023-07-07
2024-10-05,Barbie,2023,https://boxd.it/7tg299,3.5,,,2023-07-29
2024-10-05,Oppenheimer,2023,https://boxd.it/7tg3U1,5,,,2023-07-30
2024-10-05,Masaan,2015,https://boxd.it/7tgdwt,4,,,2023-08-19
2024-10-05,Fantastic Mr. Fox,2009,https://boxd.it/7tgf6H,2.5,,,2023-08-26
2024-10-05,The Irishman,2019,https://boxd.it/7tgi87,4,,,2023-08-26
2024-10-05,The Wind Rises,2013,https://boxd.it/7tgjE9,3.5,,,2023-09-16
2024-10-05,Suzume,2022,https://boxd.it/7tgkC9,3,,,2023-09-16
2024-10-20,Ford v Ferrari,2019,https://boxd.it/7AL4HH,5,,,2023-10-01
2024-10-05,The Social Network,2010,https://boxd.it/7tgmqJ,4,,,2023-11-25
2024-10-05,Whiplash,2014,https://boxd.it/7tgpmv,4,,,2023-11-25
2024-10-05,Fight Club,1999,https://boxd.it/7tgqQh,4.5,,,2023-12-09
2024-10-05,The Wonderful Story of Henry Sugar,2023,https://boxd.it/7tgsrD,3,,,2023-12-09
2024-10-26,The Truman Show,1998,https://boxd.it/7DKORN,4.5,,,2023-12-15
2024-10-05,Top Gun: Maverick,2022,https://boxd.it/7tgwv5,3.5,,,2023-12-30
2024-10-05,Gran Turismo,2023,https://boxd.it/7tgyaN,3,,,2024-01-24
2024-10-05,The Godfather,1972,https://boxd.it/7tgzP3,5,Yes,,2024-04-06
2024-10-05,Air,2023,https://boxd.it/7tgC5H,4,,,2024-04-09
2024-10-05,Forrest Gump,1994,https://boxd.it/7tgudX,4,,,2024-05-25
2024-10-05,Her,2013,https://boxd.it/7tgEM9,4.5,,,2024-07-13
2024-10-05,(500) Days of Summer,2009,https://boxd.it/7tgGLx,3.5,,,2024-07-20
2024-10-05,Superbad,2007,https://boxd.it/7tgINZ,4,,,2024-07-25
2024-10-05,Logan,2017,https://boxd.it/7tuN9N,4.5,,,2024-07-25
2024-10-05,Deadpool & Wolverine,2024,https://boxd.it/7tuOPb,4.5,,,2024-07-26
2024-10-05,300,2006,https://boxd.it/7tgKcV,3,,,2024-07-30
2024-10-05,Guardians of the Galaxy Vol. 3,2023,https://boxd.it/7tuQTp,4,,,2024-07-30
2024-10-05,Lost Ladies,2023,https://boxd.it/7tgLcR,4,,,2024-08-01
2024-10-05,Dallas Buyers Club,2013,https://boxd.it/7tgNyb,4.5,,,2024-08-04
2024-10-05,Napoleon,2023,https://boxd.it/7tuTUb,2,,,2024-08-08
2024-10-05,2001: A Space Odyssey,1968,https://boxd.it/7tgPdp,4,,,2024-08-10
2024-10-05,Argo,2012,https://boxd.it/7tgV2n,3.5,,,2024-08-10
2024-10-05,Inglourious Basterds,2009,https://boxd.it/7tgQyD,4,,,2024-08-15
2024-10-05,The Lighthouse,2019,https://boxd.it/7tgSnR,3.5,,,2024-08-16
2024-10-05,J. Edgar,2011,https://boxd.it/7tgY3X,2.5,,,2024-08-20
2024-10-05,The Shawshank Redemption,1994,https://boxd.it/7tgZ51,5,Yes,,2024-08-20
2024-10-05,Aavesham,2024,https://boxd.it/7tuDo9,3.5,,,2024-09-01
2024-10-05,8 Mile,2002,https://boxd.it/7tuEuR,3,,,2024-09-02
2024-10-05,Uncharted,2022,https://boxd.it/7tuGj7,3,,,2024-09-05
2024-10-05,Blade Runner 2049,2017,https://boxd.it/7tuIdZ,4,,,2024-09-05
2024-10-05,American Psycho,2000,https://boxd.it/7tuKBJ,3.5,,,2024-09-08
2024-10-06,Vivah,2006,https://boxd.it/7tH0UV,2,,,2024-09-09
2024-10-05,Sector 36,2024,https://boxd.it/7tuXF5,3.5,,,2024-09-22
2024-10-05,3 Idiots,2009,https://boxd.it/7tfrJp,5,Yes,,2024-09-30
2024-10-12,Manchester by the Sea,2016,https://boxd.it/7wAHcb,4,,,2024-10-06
2024-10-07,Swades,2004,https://boxd.it/7uIFk1,4.5,Yes,,2024-10-07
2024-10-15,Moneyball,2011,https://boxd.it/7yhRPR,4,,,2024-10-13
2024-10-15,Stree 2,2024,https://boxd.it/7yhTgJ,3,,,2024-10-13
2024-10-15,Good Will Hunting,1997,https://boxd.it/7yhUgv,4.5,,,2024-10-13
2024-10-15,Zindagi Na Milegi Dobara,2011,https://boxd.it/7yhXjR,4,Yes,,2024-10-14
2024-10-15,CTRL,2024,https://boxd.it/7yhYPT,3.5,,"netflix, bollywood, hindi, AI, thriller",2024-10-14
2024-10-15,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/7yJhZx,4,,,2024-10-15
2024-10-16,Saving Private Ryan,1998,https://boxd.it/7yOu6l,4.5,,"primevideo, savingprivateryan, war, oscar, classic",2024-10-15
2024-10-16,Lost in Translation,2003,https://boxd.it/7zdFV5,3,,"prime, scarletjohanneson, comedy, sad, melancholic",2024-10-15
2024-10-16,Scott Pilgrim vs. the World,2010,https://boxd.it/7zdIFT,3.5,,"comedy, fun, laugh",2024-10-16
2024-10-17,About Time,2013,https://boxd.it/7zkXkv,3.5,,,2024-10-16
2024-10-17,Maharaja,2024,https://boxd.it/7zCSIX,4,,"netflix, tamil, maharaja, thriller, mystery, crime",2024-10-17
2024-10-17,The Devil Wears Prada,2006,https://boxd.it/7zEwbh,3.5,,,2024-10-17
2024-10-18,Dune,2021,https://boxd.it/7zP8Nt,4,,"netflix, dune, timotheechalamet, zendaya, lisanalgaib, arrakis, action, adventure, scifi",2024-10-17
2024-10-18,Dune: Part Two,2024,https://boxd.it/7zPfuD,4.5,,"netflix, zendaya, timotheechalamet, dune, scifi, action, adventure",2024-10-18
2024-10-18,October,2018,https://boxd.it/7A4Feh,3.5,,"primevideo, hindi, bollywood, varundhawan, melancholic",2024-10-18
2024-10-19,Anatomy of a Fall,2023,https://boxd.it/7Ac8RL,4,,"primevideo, cannes, french, english, oscar, suspense, mystery",2024-10-18
