Date,Name,Year,Letterboxd URI
2023-05-04,Ghosted,2023,https://boxd.it/wL1e
2023-05-04,The Gray Man,2022,https://boxd.it/rb7q
2023-05-04,Interstellar,2014,https://boxd.it/4VZ8
2023-05-04,The Batman,2022,https://boxd.it/eDGs
2024-10-05,3 Idiots,2009,https://boxd.it/1Dsa
2024-10-05,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO
2024-10-05,Pulp Fiction,1994,https://boxd.it/29Pq
2024-10-05,Dead Poets Society,1989,https://boxd.it/2aSg
2024-10-05,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4
2024-10-05,La La Land,2016,https://boxd.it/a5fa
2024-10-05,Straight Outta Compton,2015,https://boxd.it/8rMc
2024-10-05,Sirf Ek Bandaa Kaafi Hai,2023,https://boxd.it/GvOE
2024-10-05,Barbie,2023,https://boxd.it/bCLK
2024-10-05,Oppenheimer,2023,https://boxd.it/wUow
2024-10-05,Masaan,2015,https://boxd.it/b6x2
2024-10-05,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ
2024-10-05,The Irishman,2019,https://boxd.it/dYOq
2024-10-05,The Wind Rises,2013,https://boxd.it/4JQS
2024-10-05,Suzume,2022,https://boxd.it/yv7Y
2024-10-05,The Social Network,2010,https://boxd.it/17ue
2024-10-05,Whiplash,2014,https://boxd.it/7bQA
2024-10-05,Fight Club,1999,https://boxd.it/2a9q
2024-10-05,The Wonderful Story of Henry Sugar,2023,https://boxd.it/yNyo
2024-10-05,Forrest Gump,1994,https://boxd.it/728
2024-10-05,Top Gun: Maverick,2022,https://boxd.it/cjr4
2024-10-05,Gran Turismo,2023,https://boxd.it/B2lS
2024-10-05,The Godfather,1972,https://boxd.it/2aNK
2024-10-05,Air,2023,https://boxd.it/Arlc
2024-10-05,Her,2013,https://boxd.it/4O24
2024-10-05,(500) Days of Summer,2009,https://boxd.it/1EmM
2024-10-05,Superbad,2007,https://boxd.it/20hO
2024-10-05,300,2006,https://boxd.it/28XI
2024-10-05,Lost Ladies,2023,https://boxd.it/I0mS
2024-10-05,Dallas Buyers Club,2013,https://boxd.it/4O8G
2024-10-05,2001: A Space Odyssey,1968,https://boxd.it/2bf0
2024-10-05,Inglourious Basterds,2009,https://boxd.it/1JzG
